VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
7C3007F8-523F-4023-B865-67A43F910CE1,2018-09-05,1GDHG316581232355,177,2018-09-05 07:12:17,40.6886443,-73.84617879999998,NYC DOE - LOGAN FAMILY,3.0,2018-09-05 07:09:31,40.688405,-73.84636809999998,NYC DOE - LOGAN FAMILY,0,93.82833333333333,4.0
7E6AAF4C-CB29-404A-BFC1-C6C7F2ABB13A,2018-09-30,1GBHG31K391173314_md2,84,2018-09-18 10:55:56,41.0652828,-73.2856415,NYC DOE - TWENTY FIRST AVE,,,,,,1,301.0675,13.0
7EA3A7B5-0A98-4442-8442-330055558559,2018-09-17,1FDWE35P86HA07271,14,2018-09-17 19:21:25,40.84068900000001,-73.84087530000002,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-17 05:45:30,40.7977618,-73.96922550000002,NYC DOE - BORO/CONSOLIDATED/SNT,0,60.48083333333334,3.0
81B984F1-97E3-43A7-8030-E9A2C063FD30,2018-09-16,4DRBUAAN1BB309928,84,2018-09-16 16:15:39,40.6131863,-73.9034108,NYC DOE - NEW DAWN,84.0,2018-09-16 16:15:39,40.6131863,-73.9034108,NYC DOE - NEW DAWN,0,48.003055555555555,2.0
85B781D0-8FCC-4CF0-97A6-0C7F6E488A03,2018-09-09,NMOKS9CN1DT171596,84,2018-09-09 14:00:58,40.8350838,-73.87925030000002,NYC DOE - THOMAS/CHILDREN/FIRST,84.0,2018-09-09 14:00:58,40.8350838,-73.87925030000002,NYC DOE - THOMAS/CHILDREN/FIRST,0,48.95194444444444,2.0
8951893E-2FC0-4BC8-A906-5514613C609B,2018-09-30,1GDHG31F821203195   ,177,2018-09-25 23:07:51,40.8883796,-73.8254146,NYC DOE - RELIANT/MV,,,,,,1,120.86888888888889,5.0
8A5CD21F-C8E1-4395-9FE2-2A9180FAE8C5,2018-09-30,1GB3G3BG1C1137021,177,2018-09-19 23:15:29,40.6740523,-74.0091378,NYC DOE - JOFAZ/THIRD AVE/Y&M,,,,,,1,264.7416666666667,11.0
8B1632B0-6A02-4B6B-8A46-F43A45403809,2018-09-10,4DRBUAANXCB440356,84,2018-09-10 12:59:21,40.8217031,-73.8412683,NYC DOE - BORO/CONSOLIDATED/SNT,84.0,2018-09-10 12:59:21,40.8217031,-73.8412683,NYC DOE - BORO/CONSOLIDATED/SNT,0,48.00361111111111,2.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-24,1BAKFCKA39F258306,13,2018-09-24 12:45:12,40.8214698,-73.841691,NYC DOE - BORO/CONSOLIDATED/SNT,12.0,2018-09-24 06:41:54,40.807871,-73.9257958,NYC DOE - BORO/CONSOLIDATED/SNT,0,72.7063888888889,3.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-26,1BAKFCKA39F258306,4,2018-09-26 23:25:31,40.8486653,-73.8403988,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-26 14:56:13,40.82145429999999,-73.9361083,NYC DOE - BORO/CONSOLIDATED/SNT,0,50.18361111111111,2.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-21,1BAKFCKA39F258306,23,2018-09-21 05:59:31,40.825886,-73.84407209999998,NYC DOE - BORO/CONSOLIDATED/SNT,22.0,2018-09-21 05:55:22,40.82545379999999,-73.844234,NYC DOE - BORO/CONSOLIDATED/SNT,0,65.39444444444445,3.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-13,1BAKFCKA39F258306,4,2018-09-13 09:51:30,40.8253538,-73.8440936,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-13 09:19:26,40.8253476,-73.8444243,NYC DOE - BORO/CONSOLIDATED/SNT,0,85.39527777777778,4.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-15,1BAKFCKA39F258306,4,2018-09-15 19:25:12,40.8214573,-73.84120759999998,NYC DOE - BORO/CONSOLIDATED/SNT,4.0,2018-09-15 19:25:12,40.8214573,-73.84120759999998,NYC DOE - BORO/CONSOLIDATED/SNT,0,57.56166666666667,2.0
9805F697-0C96-4FBE-A8B2-A75A74AAF471,2018-09-30,1BAKFCKA39F258306,84,2018-09-28 05:24:27,40.8538611,-73.8403988,NYC DOE - BORO/CONSOLIDATED/SNT,,,,,,1,66.59222222222222,3.0
9FADD15C-B8D4-4890-979B-92A8A3B53C14,2018-09-23,1GB3GRBF3H1336105,84,2018-09-23 18:10:46,40.6586715,-73.87380279999998,NYC DOE - LEESEL SELBY BUS,84.0,2018-09-23 18:10:46,40.6586715,-73.87380279999998,NYC DOE - LEESEL SELBY BUS,0,48.00194444444445,2.0
A04348B5-5CE9-4533-91A1-E3285240CEA2,2018-09-10,1GDHG31U751254383   ,84,2018-09-10 08:51:06,40.7019141,-73.7770278,NYC DOE - RELIANT/MV,84.0,2018-09-10 08:51:06,40.7019141,-73.7770278,NYC DOE - RELIANT/MV,0,48.00694444444444,2.0
A04348B5-5CE9-4533-91A1-E3285240CEA2,2018-09-30,1GDHG31U751254383   ,177,2018-09-19 15:32:50,40.758081,-73.776823,NYC DOE - RELIANT/MV,,,,,,1,272.4525,11.0
A3A179AE-872E-4759-AF08-B42863185D38,2018-09-09,4DRBUC8N6FB661085,84,2018-09-09 14:47:22,40.8258471,-73.842711,NYC DOE - RELIANT/MV,84.0,2018-09-09 14:47:22,40.8258471,-73.842711,NYC DOE - RELIANT/MV,0,48.00333333333333,2.0
A4549DC0-ECDD-455B-B9E8-A98C637B288D,2018-09-24,1GB3GSBG9H1227082,13,2018-09-24 17:23:14,40.9288486,-73.8576255,NYC DOE - PRIDE,3.0,2018-09-24 04:37:07,40.6541126,-73.92157809999998,NYC DOE - PRIDE,0,57.56333333333333,2.0
